marker-color,marker-size,marker-symbol,node-details,lon,lat
#005cfa,medium,,NE17/PTC Punggol MRT/LRT Station,103.90235602855682,1.4052534682491322
#005cfa,medium,,PW1 Sam Kee LRT Station,103.90489339828491,1.4097126360596353
#005cfa,medium,,PW3 Punggol Point LRT Station,103.906626,1.416883
#005cfa,medium,,PW4 Samudera LRT Station,103.90213876962662,1.4159281064622553
#005cfa,medium,,PW5 Nibong LRT Station,103.90030682086945,1.4118282574893133
#005cfa,medium,,PW6 Sumang LRT Station,103.89853656291962,1.4085274581953549
#005cfa,medium,,PW7 Soo Teck LRT Station,103.89723837375641,1.405390219763865
#edfa00,medium,,Waterway Point,103.90203952789307,1.4065700364210798
#edfa00,medium,,Punggol Town Square,103.90333771705627,1.407717675688023
#edfa00,medium,,Punggol View Primary School,103.90527963638304,1.4053392731220609
#edfa00,medium,,Yusof Ishak Secondary School,103.896635,1.407172
#dce604,medium,,Northshore Primary School,103.9046573638916,1.4180678547154504
#edfa00,medium,,Shell @ 821 Punggol Road,103.90665829181671,1.404553622136663
#edfa00,medium,,Fo Guang Shan (Singapore) Temple,103.90553176403046,1.4067362832657553
#edfa00,medium,,My First Skool EYC @ 2 Punggol Drive,103.90438914299011,1.4072511121289253
#edfa00,medium,,Punggol Waterway Park,103.90740394592285,1.4093265148307201
#edfa00,medium,,Punggol Waterway Park Carpark B,103.90466809272766,1.4106886644360648
#edfa00,medium,,SAFRA Punggol,103.90609502792358,1.4101416595722207
#edfa00,medium,,SPC @ Sumang,103.90099346637726,1.4103722596775539
#edfa00,medium,,Punggol Cove Primary School,103.89913201332092,1.4116110645034148
#edfa00,medium,,Valour Primary School,103.89899253845213,1.4071170421234072
#edfa00,medium,,Church of the Transfiguration,103.90002250671385,1.4067845484764974
#edfa00,medium,,Dhammakaya Centre,103.89538764953612,1.40510062831143
#edfa00,medium,,Punggol West Community Centre,103.89589995145798,1.404438321799165
#edfa00,medium,,Punggol Topaz Common Green,103.8963371515274,1.4044946312670261
#edfa00,medium,,Punggol Sapphire Common Green,103.89915347099304,1.4045053568798032
#edfa00,medium,,Matilda House,103.89917761087418,1.4051086725189328
#00fa43,medium,,Prive HDB Estate,103.904550075531,1.4010570698395315
#00fa43,medium,,Punggol Arcadia HDB Estate,103.90300512313843,1.401893668717353
#00fa43,medium,,Parc Centros Condominium Estate,103.90397071838377,1.403405981314683
#00fa43,medium,,Punggol Green HDB Estate,103.90504360198975,1.4024192242697904
#00fa43,medium,,Punggol Regalia HDB Estate,103.90192151069641,1.402633736706251
#00fa43,medium,,Punggol Residences HDB Estate,103.90060186386108,1.4033952556968554
#00fa43,medium,,Punggol Sapphire HDB Estate,103.89832735061646,1.4038028291392681
#00fa43,medium,,Punggol Emerald HDB Estate,103.89823615550995,1.4054867502400417
#00fa43,medium,,NorthShore Residences (U/C),103.902132,1.416879
#00fa43,medium,,NorthShore Waterfront (U/C),103.901286,1.417877
#00fa43,medium,,Punggol Point Cove HDBs (U/C),103.912822,1.419092
#00fa43,medium,,Punggol Point Woods HDBs (U/C),103.910676,1.417195
#00fa43,medium,,Punggol Point Crown HDBs (U/C),103.911154,1.419516
#00fa43,medium,,NorthShore Trio HDBs (U/C),103.905895,1.417987
#00fa43,medium,,Northshore Cove HDBs (U/C),103.906181,1.419355
#00fa43,medium,,Northshore StraitsView HDBs (U/C),103.904582,1.41943
#00fa43,medium,,Northshore Edge HDBs (U/C),103.900637,1.414621
#00fa43,medium,,Piermont Grand Condominiums (U/C),103.898461,1.410376
#00fa43,medium,,Northshore Bungalows,103.904315,1.416019
#00fa43,medium,,A Treasure Trove Condominium Estate,103.89973282814026,1.405320503306374
#00fa43,medium,,Punggol Topaz HDB Estate,103.89655709266661,1.4053473173287365
#00fa43,medium,,Punggol Opal HDB Estate,103.89580607414246,1.405502838652337
#00fa43,medium,,Waterway Cascadia HDB Estate,103.89737784862518,1.4085167326010761
#00fa43,medium,,Waterway Terraces I HDB Estate,103.89985084533691,1.4079375504363723
#00fa43,medium,,Waterway Terraces II HDB Estate,103.90066623687743,1.409246072899977
#00fa43,medium,,Punggol Bayview HDB Estate,103.89746367931365,1.411589613343215
#00fa43,medium,,Punggol Vue HDB Estate,103.89957726001738,1.4126568083231965
#00fa43,medium,,Punggol ParcVista HDB Estate,103.90148162841797,1.4102489154380138
#00fa43,medium,,Treelodge @ Punggol HDB Estate,103.90634715557097,1.4059479513488713
#00fa43,medium,,Punggol Cornalius HDB Estate,103.90524744987488,1.404285481808144
#8500fa,medium,,Bus Stop 65401: Opp Blk 264A,103.89871627092361,1.4065512666152908
#8500fa,medium,,Bus Stop 65409: Bef Blk 264A,103.89956921339035,1.406237542696208
#8500fa,medium,,Bus Stop 65141: Soo Teck Stn,103.89736980199814,1.405130123738787
#8500fa,medium,,Bus Stop 65149: Soo Teck Stn,103.8970747590065,1.40510062831143
#8500fa,medium,,Bus Stop 65339: Blk 268C,103.89811277389526,1.4031592920924725
#8500fa,medium,,Bus Stop 65349: Opp Blk 268D,103.898606300354,1.402647143732877
#8500fa,medium,,Bus Stop 65349: Blk 272C,103.90066087245941,1.4022261630601682
#8500fa,medium,,Bus Stop 65341: Opp Blk 272C,103.90092641115187,1.4017220587154993
#8500fa,medium,,Bus Stop 65201: Opp Blk 201A,103.9035576581955,1.4008425572586227
#8500fa,medium,,Bus Stop 65209: Aft Punggol Road,103.90385806560516,1.4003411340241358
#8500fa,medium,,Bus Stop 65081: Opp Blk 199C,103.90529572963715,1.4009605391805493
#8500fa,medium,,Bus Stop 65089: Opp Blk 296,103.90582412481307,1.4013144849106942
#8500fa,medium,,Bus Stop 65229: Blk 298,103.90537619590759,1.4031485664735381
#8500fa,medium,,Bus Stop 65221: Blk 303D,103.90480756759644,1.40399589021878
#8500fa,medium,,Bus Stop 65091: Blk 301A,103.90659928321838,1.403985164603662
#8500fa,medium,,Bus Stop 65091: Blk 604A,103.90720009803772,1.4045053568798032
#8500fa,medium,,Bus Stop 65219: Aft Punggol Central,103.90332698822021,1.4032558226607834
#8500fa,medium,,Bus Stop 65251: Punggol Stn,103.90282541513443,1.4051140353239089
#8500fa,medium,,Bus Stop 65259: Punggol Stn/Int,103.90174448490143,1.405358042937595
#8500fa,medium,,Bus Stop 65359: Opp Punggol View Primary School,103.90435695648193,1.4055725551043956
#8500fa,medium,,Bus Stop 65351: Punggol View Primary School,103.9048719406128,1.405894323317632
#8500fa,medium,,Bus Stop 65489: Aft Punggol Drive,103.90573024749756,1.4082432299301226
#8500fa,medium,,Bus Stop 65481: Bef Punggol Drive,103.90617549419403,1.4088545887973347
#8500fa,medium,,Bus Stop 65619: Nibong Stn Exit A,103.89998495578766,1.411495764514989
#8500fa,medium,,Bus Stop 65611: Nibong Stn Exit B,103.9003336429596,1.411329518010022
#8500fa,medium,,Bus Stop 65469: Blk 310B,103.9009827375412,1.409873519886123
#8500fa,medium,,Bus Stop 65461: Blk 312 CP,103.9013421535492,1.4098574315039791
#8500fa,medium,,Bus Stop 65451: Blk 322 CP,103.89751732349396,1.4106618504751507
#8500fa,medium,,Bus Stop 65459: Opp Blk 322 CP,103.89773458242416,1.410484878325347
#8500fa,medium,,Bus Stop 65449: Blk 315B,103.89602065086365,1.4080340808071452
#8500fa,medium,,Bus Stop 65441: Opp Blk 315B,103.89575779438019,1.408178876355824
#8500fa,medium,,Bus Stop 65499: Blk 259 CP,103.89506578445433,1.4045750733616063
#8500fa,medium,,Bus Stop 65491: Opp Blk 259 CP,103.89482438564299,1.404553622136663
#8500fa,medium,,Bus Stop 65571: Blk 218,103.8955619931221,1.4034408395722442
#8500fa,medium,,Bus Stop 65479: Blk 258A,103.895905315876,1.4035775911930422
#8500fa,medium,,Intersection A,103.89809131622314,1.4114287296354002
#8500fa,medium,,Intersection B,103.89976501464844,1.4107530179410146
#8500fa,medium,,Intersection C,103.90214681625366,1.4091978077402003
#8500fa,medium,,Intersection D,103.90324115753174,1.4106243109293597
#8500fa,medium,,Intersection E,103.90550494194031,1.4072940145290675
#8500fa,medium,,Intersection F,103.90770435333252,1.4058299696785266
#8500fa,medium,,Intersection G,103.9062774181366,1.402858974743377
#8500fa,medium,,Intersection H,103.90384197235107,1.4044141891696726
#8500fa,medium,,Intersection I,103.90089154243469,1.4060766586187872
#8500fa,medium,,Intersection J,103.89756560325623,1.4064091523665716
#8500fa,medium,,Intersection K,103.89530181884766,1.4065485852144566
#8500fa,medium,,Intersection L,103.89481902122498,1.4036955729771108
#8500fa,medium,,Intersection M,103.89694333076477,1.4035668655760034
#8500fa,medium,,Intersection  N,103.89943242073059,1.4025157548686347
#8500fa,medium,,Intersection O,103.90207171440125,1.4014539180624237
#8500fa,medium,,Intersection P,103.90512943267822,1.39994160420436
#8500fa,medium,,Bus Stop 65009: Punggol Temp Interchange,103.90295952558517,1.4031297966402565
#8500fa,medium,,Intersection Q,103.90506505966187,1.4100236781141335
#dee805,medium,,Marina Country Club,103.89896035194397,1.4151934054785358
#dce604,medium,,Punggol Point Park,103.91116976737976,1.4210602812849928
#dce604,medium,,Punggol Point Police Post,103.9106896519661,1.421505390999248
#dce604,medium,,River of Life Community Church,103.90870213508605,1.4189902518486621
#dce604,medium,,Bridges Montessori Kindergarten,103.90566,1.415591
#dce604,medium,,St Francis Xavier Major Seminary,103.904997,1.414379